_H:	|Run	|Epoch	#PerTrlMSec	#Hidden ActAvg
_D:	0	0	0	0.1191
_D:	0	1	58.65	0.1177
_D:	0	2	57.29	0.1189
_D:	0	3	57.19	0.1216
_D:	0	4	57.4	0.1252
_D:	0	5	55.94	0.1276
_D:	0	6	55.84	0.131
_D:	0	7	55.67	0.1343
_D:	0	8	55.7	0.1361
_D:	0	9	55.57	0.1375
_D:	0	10	55.54	0.1379
_D:	0	11	55.5	0.1394
_D:	0	12	55.46	0.14
_D:	0	13	55.47	0.1418
_D:	0	14	55.64	0.1421
_D:	0	15	56.87	0.1429
_D:	0	16	56.57	0.1425
_D:	0	17	56.44	0.1418
_D:	0	18	56.37	0.1437
_D:	0	19	56.71	0.143
_D:	0	20	56.38	0.1449
_D:	0	21	56.31	0.1452
_D:	0	22	56.57	0.1436
_D:	0	23	57.19	0.1445
_D:	0	24	56.29	0.1454
_D:	0	25	56.29	0.1446
_D:	0	26	55.66	0.1466
_D:	0	27	55.84	0.147
_D:	0	28	55.89	0.1467
_D:	0	29	55.95	0.147
_D:	0	30	55.98	0.1475
_D:	0	31	55.6	0.1461
_D:	0	32	55.5	0.1475
_D:	0	33	55.52	0.1455
_D:	0	34	55.61	0.1478
_D:	0	35	55.43	0.1471
_D:	0	36	55.64	0.1465
_D:	0	37	55.51	0.1481
_D:	0	38	55.54	0.1473
_D:	0	39	57.93	0.1471
_D:	0	40	56.41	0.1466
_D:	0	41	56.41	0.1474
_D:	0	42	55.73	0.1471
_D:	0	43	55.66	0.1493
_D:	0	44	55.58	0.1473
_D:	0	45	55.55	0.1468
_D:	0	46	55.61	0.1486
_D:	0	47	55.52	0.1468
_D:	0	48	55.53	0.149
_D:	0	49	55.54	0.1498
