_H:	|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#PctNameErr	#CosDiff	#PerTrlMSec	#OrthoCode ActAvg	#Hidden ActAvg
_D:	0	0	13.29	0.09493	0.9625	0.03751	0.9615	0.4186	0	0.101	0.126
_D:	0	1	11.48	0.08203	1.003	-0.003009	0.987	0.5975	36.47	0.09877	0.1245
_D:	0	2	10.29	0.07349	0.9749	0.0251	0.9538	0.6433	35.3	0.09892	0.1229
_D:	0	3	9.473	0.06766	0.9649	0.03514	0.9147	0.6778	34.95	0.09818	0.1219
_D:	0	4	9.02	0.06443	0.971	0.02899	0.9234	0.7286	35.53	0.09671	0.1202
_D:	0	5	8.146	0.05819	0.9364	0.06363	0.8749	0.7547	34.54	0.09976	0.1199
_D:	0	6	6.678	0.0477	0.8302	0.1698	0.767	0.7106	31.27	0.09772	0.1186
_D:	0	7	7.257	0.05183	0.9383	0.06165	0.8621	0.8203	34.8	0.09529	0.1174
_D:	0	8	6.168	0.04406	0.8447	0.1553	0.7579	0.7765	31.7	0.0967	0.1166
_D:	0	9	6.039	0.04314	0.8676	0.1324	0.791	0.8314	33.23	0.09646	0.1166
_D:	0	10	5.278	0.0377	0.7791	0.2209	0.6787	0.7836	30.55	0.09718	0.1166
_D:	0	11	5.012	0.0358	0.7904	0.2096	0.7021	0.8355	32.18	0.09687	0.1156
_D:	0	12	5.685	0.04061	0.8944	0.1056	0.7888	0.9356	36.01	0.09596	0.1144
_D:	0	13	4.45	0.03179	0.6918	0.3082	0.6012	0.7614	29.03	0.09649	0.1145
_D:	0	14	4.558	0.03256	0.7505	0.2495	0.6628	0.8913	32.65	0.09585	0.1145
_D:	0	15	4.206	0.03005	0.7308	0.2692	0.6139	0.8173	29.97	0.09889	0.1142
_D:	0	16	3.717	0.02655	0.6929	0.3071	0.577	0.9047	32.01	0.09566	0.1131
_D:	0	17	4.082	0.02916	0.701	0.299	0.601	0.865	31.62	0.09478	0.1131
_D:	0	18	3.694	0.02639	0.6796	0.3204	0.5745	0.8698	30.82	0.09714	0.113
_D:	0	19	3.442	0.02458	0.6166	0.3834	0.5195	0.8206	29.04	0.0958	0.1135
_D:	0	20	3.692	0.02637	0.6946	0.3054	0.5669	0.9542	33.33	0.09772	0.1131
_D:	0	21	3.499	0.02499	0.6599	0.3401	0.5462	0.9265	32.34	0.09539	0.1128
_D:	0	22	3.189	0.02278	0.6436	0.3564	0.532	0.9158	31.6	0.09715	0.1127
_D:	0	23	2.791	0.01994	0.5786	0.4214	0.4687	0.8579	29.75	0.0971	0.1127
_D:	0	24	3.207	0.02291	0.6427	0.3573	0.5185	0.9557	33.14	0.0955	0.1123
_D:	0	25	2.573	0.01838	0.5378	0.4622	0.4414	0.8288	28.21	0.0953	0.1119
_D:	0	26	2.865	0.02046	0.5843	0.4157	0.4682	0.9219	31.11	0.09587	0.1124
_D:	0	27	2.694	0.01925	0.58	0.42	0.4636	0.9156	30.8	0.09544	0.1122
_D:	0	28	2.794	0.01996	0.5582	0.4418	0.4627	0.946	31.76	0.09586	0.1116
_D:	0	29	2.208	0.01577	0.5077	0.4923	0.3849	0.903	29.87	0.09593	0.1115
_D:	0	30	2.098	0.01499	0.4933	0.5067	0.3852	0.9377	30.61	0.09599	0.112
_D:	0	31	2.046	0.01461	0.4866	0.5134	0.374	0.9362	30.45	0.09574	0.1119
_D:	0	32	2.333	0.01667	0.5015	0.4985	0.3944	0.9207	30.34	0.09663	0.1116
_D:	0	33	2.17	0.0155	0.4895	0.5105	0.3937	0.951	31.05	0.09601	0.1116
_D:	0	34	2.035	0.01454	0.4577	0.5423	0.3443	0.9124	29.7	0.0973	0.1116
_D:	0	35	1.94	0.01385	0.4598	0.5402	0.3525	0.8996	29.19	0.09477	0.1116
_D:	0	36	1.828	0.01306	0.4573	0.5427	0.3525	0.9748	31.26	0.09503	0.1115
_D:	0	37	1.874	0.01339	0.4602	0.5398	0.3552	0.97	31.14	0.0974	0.1119
_D:	0	38	1.865	0.01332	0.4176	0.5824	0.3357	0.8921	29.64	0.09584	0.1111
_D:	0	39	1.723	0.0123	0.4052	0.5948	0.3034	0.9301	30.33	0.09602	0.1116
_D:	0	40	1.68	0.012	0.402	0.598	0.3186	0.9516	30.57	0.09615	0.1116
_D:	0	41	1.75	0.0125	0.4029	0.5971	0.3155	0.9083	29.14	0.09668	0.1115
_D:	0	42	1.794	0.01282	0.45	0.55	0.3451	0.951	30.48	0.0958	0.111
_D:	0	43	1.516	0.01083	0.399	0.601	0.3051	0.9908	31.35	0.09639	0.1115
_D:	0	44	1.571	0.01122	0.3863	0.6137	0.2956	0.9044	29.13	0.09595	0.112
_D:	0	45	1.698	0.01213	0.4053	0.5947	0.306	0.9824	31.33	0.09618	0.1116
_D:	0	46	1.635	0.01168	0.3858	0.6142	0.3118	0.9753	30.99	0.09424	0.1109
_D:	0	47	1.123	0.008021	0.3389	0.6611	0.2497	0.9687	30.22	0.09714	0.1111
_D:	0	48	1.125	0.008036	0.3364	0.6636	0.2531	0.9428	29.34	0.09438	0.1112
_D:	0	49	1.39	0.009927	0.3385	0.6615	0.257	0.9573	30.11	0.09624	0.1118
_D:	0	50	1.127	0.008048	0.3299	0.6701	0.2541	0.9675	30.28	0.09376	0.1114
_D:	0	51	1.274	0.009099	0.3455	0.6545	0.2541	0.9375	29.35	0.09595	0.112
_D:	0	52	1.326	0.009475	0.3406	0.6594	0.2571	0.9843	30.82	0.0971	0.1123
_D:	0	53	1.166	0.008325	0.3171	0.6829	0.2266	0.9337	29.1	0.09649	0.1119
_D:	0	54	1.094	0.007811	0.3101	0.6899	0.2197	0.9738	30.34	0.09553	0.1119
_D:	0	55	1.175	0.008391	0.3107	0.6893	0.2399	0.9466	29.5	0.09536	0.1122
_D:	0	56	1.107	0.007905	0.3234	0.6766	0.2322	1.011	31.48	0.09721	0.1123
_D:	0	57	0.9266	0.006618	0.2691	0.7309	0.2035	0.8918	27.92	0.09758	0.112
_D:	0	58	1.329	0.009492	0.3504	0.6496	0.2613	1.003	32	0.09498	0.1116
