_H:	$Name	%Input[2:0,0]<2:7,5>	%Input[2:0,1]	%Input[2:0,2]	%Input[2:0,3]	%Input[2:0,4]	%Input[2:1,0]	%Input[2:1,1]	%Input[2:1,2]	%Input[2:1,3]	%Input[2:1,4]	%Input[2:2,0]	%Input[2:2,1]	%Input[2:2,2]	%Input[2:2,3]	%Input[2:2,4]	%Input[2:3,0]	%Input[2:3,1]	%Input[2:3,2]	%Input[2:3,3]	%Input[2:3,4]	%Input[2:4,0]	%Input[2:4,1]	%Input[2:4,2]	%Input[2:4,3]	%Input[2:4,4]	%Input[2:5,0]	%Input[2:5,1]	%Input[2:5,2]	%Input[2:5,3]	%Input[2:5,4]	%Input[2:6,0]	%Input[2:6,1]	%Input[2:6,2]	%Input[2:6,3]	%Input[2:6,4]
_D:	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0
_D:	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0
_D:	2	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0
_D:	3	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1
_D:	4	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0
_D:	5	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1
_D:	6	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0
_D:	7	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
_D:	8	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0
_D:	9	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	0
