_H:,|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#V1 ActAvg,#Output ActAvg
_D:,0,0,0.914,0.0457,0.98,0.02,0.1084,0.07564,0.04797
_D:,0,1,0.8144,0.04072,0.75,0.25,0.3363,0.07264,0.04767
_D:,0,2,0.6864,0.03432,0.56,0.44,0.5279,0.07089,0.04756
_D:,0,3,0.5789,0.02894,0.39,0.61,0.6256,0.07091,0.04752
_D:,0,4,0.5404,0.02702,0.35,0.65,0.6536,0.07053,0.04751
_D:,0,5,0.5264,0.02632,0.32,0.68,0.6772,0.07057,0.0475
_D:,0,6,0.4126,0.02063,0.24,0.76,0.7474,0.06908,0.0475
_D:,0,7,0.2354,0.01177,0.14,0.86,0.8531,0.06963,0.0475
_D:,0,8,0.4121,0.0206,0.25,0.75,0.7553,0.07096,0.0475
_D:,0,9,0.456,0.0228,0.26,0.74,0.7263,0.07016,0.0475
_D:,0,10,0.3797,0.01898,0.22,0.78,0.7705,0.07076,0.0475
_D:,0,11,0.1679,0.008395,0.1,0.9,0.9001,0.07085,0.0475
_D:,0,12,0.212,0.0106,0.12,0.88,0.8737,0.07075,0.0475
_D:,0,13,0.2492,0.01246,0.14,0.86,0.8526,0.07111,0.0475
_D:,0,14,0.3463,0.01732,0.2,0.8,0.7944,0.07091,0.0475
_D:,0,15,0.3139,0.01569,0.18,0.82,0.8105,0.07075,0.0475
_D:,0,16,0.2864,0.01432,0.16,0.84,0.8316,0.0707,0.0475
_D:,0,17,0.3316,0.01658,0.19,0.81,0.8055,0.07102,0.0475
_D:,0,18,0.08924,0.004462,0.05,0.95,0.9474,0.0709,0.0475
_D:,0,19,0.1615,0.008076,0.09,0.91,0.9053,0.07115,0.0475
_D:,0,20,0.1616,0.008081,0.09,0.91,0.9053,0.07042,0.0475
_D:,0,21,0.252,0.0126,0.14,0.86,0.8526,0.07054,0.0475
_D:,0,22,0.2169,0.01085,0.12,0.88,0.8737,0.07029,0.0475
_D:,0,23,0.2526,0.01263,0.14,0.86,0.8526,0.06939,0.0475
_D:,0,24,0.1444,0.007221,0.08,0.92,0.9158,0.06968,0.0475
_D:,0,25,0.1629,0.008145,0.09,0.91,0.9053,0.06982,0.0475
_D:,0,26,0.1809,0.009045,0.1,0.9,0.8947,0.07038,0.0475
_D:,0,27,0.1807,0.009035,0.1,0.9,0.8947,0.07081,0.0475
_D:,0,28,0.2904,0.01452,0.16,0.84,0.8316,0.07065,0.0475
_D:,0,29,0.1087,0.005433,0.06,0.94,0.9368,0.07019,0.0475
_D:,0,30,0.151,0.007549,0.09,0.91,0.9131,0.0698,0.0475
_D:,0,31,0.1636,0.008178,0.09,0.91,0.9053,0.06912,0.0475
_D:,0,32,0.1088,0.00544,0.06,0.94,0.9368,0.07039,0.0475
_D:,0,33,0.09036,0.004518,0.05,0.95,0.9474,0.07048,0.0475
_D:,0,34,0.2536,0.01268,0.14,0.86,0.8526,0.0703,0.0475
_D:,0,35,0.1264,0.006321,0.07,0.93,0.9262,0.07019,0.0475
_D:,0,36,0.09036,0.004518,0.05,0.95,0.9474,0.07,0.0475
_D:,0,37,0.1158,0.005788,0.07,0.93,0.9338,0.06963,0.0475
_D:,0,38,0.07243,0.003621,0.04,0.96,0.9579,0.06903,0.0475
_D:,0,39,0.1632,0.008158,0.09,0.91,0.9053,0.07001,0.0475
_D:,0,40,0.1685,0.008425,0.09,0.91,0.905,0.06994,0.0475
_D:,0,41,0.1448,0.007242,0.08,0.92,0.9158,0.06983,0.0475
_D:,0,42,0.09074,0.004537,0.05,0.95,0.9474,0.07021,0.0475
_D:,0,43,0.1267,0.006334,0.07,0.93,0.9263,0.07037,0.0475
_D:,0,44,0.05452,0.002726,0.03,0.97,0.9684,0.07066,0.0475
_D:,0,45,0.01812,0.000906,0.01,0.99,0.9895,0.0704,0.0475
_D:,0,46,0.03615,0.001808,0.02,0.98,0.9789,0.07081,0.0475
_D:,0,47,0.03643,0.001822,0.02,0.98,0.9789,0.06992,0.0475
_D:,0,48,0.01823,0.0009115,0.01,0.99,0.9895,0.06916,0.0475
_D:,0,49,0.05453,0.002727,0.03,0.97,0.9684,0.07132,0.0475
