_H:,|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#OShidden ActAvg
_D:,0,0,10.41,0.1111,1,0,0.01923,0.2
_D:,0,1,8.42,0.09257,1,0,0.1412,0.2
_D:,0,2,7.839,0.08114,1,0,0.317,0.2
_D:,0,3,7.685,0.07951,1,0,0.3367,0.2
_D:,0,4,5.904,0.06358,1,0,0.4887,0.2
_D:,0,5,5.611,0.06056,1,0,0.4945,0.2
_D:,0,6,4.671,0.04843,1,0,0.6201,0.2
_D:,0,7,3.85,0.0452,1,0,0.6289,0.2
_D:,0,8,4.101,0.04399,1,0,0.637,0.2
_D:,0,9,3.496,0.03669,0.95,0.05,0.7142,0.2
_D:,0,10,2.875,0.0312,1,0,0.7252,0.2
_D:,0,11,3.698,0.0366,0.95,0.05,0.7439,0.2
_D:,0,12,2.678,0.03025,0.875,0.125,0.7551,0.2
_D:,0,13,2.59,0.02672,0.85,0.15,0.7962,0.2
_D:,0,14,4.817,0.04849,0.9,0.1,0.6607,0.2
_D:,0,15,2.716,0.03069,0.875,0.125,0.7566,0.2
_D:,0,16,1.645,0.01858,0.85,0.15,0.8365,0.2
_D:,0,17,3.774,0.04489,0.875,0.125,0.6509,0.2
_D:,0,18,2.017,0.02569,0.75,0.25,0.7647,0.2
_D:,0,19,3.288,0.03632,0.825,0.175,0.7244,0.2
_D:,0,20,1.637,0.02082,0.7,0.3,0.8246,0.2
_D:,0,21,2.388,0.02807,0.725,0.275,0.7839,0.2
_D:,0,22,2.395,0.02455,0.675,0.325,0.8167,0.2
_D:,0,23,1.566,0.01885,0.575,0.425,0.8442,0.2
_D:,0,24,1.259,0.01551,0.55,0.45,0.8524,0.2
_D:,0,25,2.657,0.03024,0.575,0.425,0.7819,0.2
_D:,0,26,1.43,0.0152,0.6,0.4,0.8889,0.2
_D:,0,27,0.8969,0.009809,0.375,0.625,0.9174,0.2
_D:,0,28,0.5794,0.007801,0.275,0.725,0.9243,0.2
_D:,0,29,1.557,0.01539,0.25,0.75,0.9011,0.2
_D:,0,30,1.317,0.01401,0.45,0.55,0.8806,0.2
_D:,0,31,1.448,0.01604,0.325,0.675,0.8833,0.2
_D:,0,32,1.409,0.01477,0.475,0.525,0.8985,0.2
_D:,0,33,0.07461,0.0008076,0.225,0.775,0.9881,0.2
_D:,0,34,0.5668,0.006171,0.225,0.775,0.954,0.2
_D:,0,35,2.176,0.02543,0.4,0.6,0.8048,0.2
_D:,0,36,1.65,0.01959,0.425,0.575,0.8463,0.2
_D:,0,37,1.568,0.02009,0.45,0.55,0.8315,0.2
_D:,0,38,1.852,0.02261,0.35,0.65,0.8256,0.2
_D:,0,39,0.903,0.01014,0.325,0.675,0.9221,0.2
_D:,0,40,0.4911,0.006847,0.175,0.825,0.9362,0.2
_D:,0,41,0.8905,0.00975,0.15,0.85,0.9313,0.2
_D:,0,42,1.6,0.01825,0.3,0.7,0.8689,0.2
_D:,0,43,1.082,0.01057,0.2,0.8,0.9342,0.2
_D:,0,44,2.192,0.02321,0.275,0.725,0.8478,0.2
_D:,0,45,0.737,0.009751,0.2,0.8,0.911,0.2
_D:,0,46,0.9967,0.01114,0.25,0.75,0.9141,0.2
_D:,0,47,1.125,0.01273,0.175,0.825,0.9069,0.2
_D:,0,48,0.4,0.005212,0.15,0.85,0.9518,0.2
_D:,0,49,0.4029,0.005591,0.15,0.85,0.9497,0.2
_D:,0,50,0.1915,0.002421,0.075,0.925,0.9754,0.2
_D:,0,51,0.8973,0.007754,0.075,0.925,0.9636,0.2
_D:,0,52,0.9374,0.008353,0.125,0.875,0.9584,0.2
_D:,0,53,1.157,0.01345,0.225,0.775,0.8966,0.2
_D:,0,54,1.061,0.01148,0.175,0.825,0.9154,0.2
_D:,0,55,0.0101,0.000103,0.025,0.975,0.9956,0.2
_D:,0,56,0.1706,0.002206,0.1,0.9,0.9775,0.2
_D:,0,57,0.6901,0.007104,0.15,0.85,0.9573,0.2
_D:,0,58,0.005908,6.028e-05,0.025,0.975,0.9966,0.2
_D:,0,59,0.662,0.007107,0.1,0.9,0.954,0.2
_D:,0,60,0.4292,0.005522,0.15,0.85,0.9513,0.2
_D:,0,61,0.138,0.001854,0.1,0.9,0.9828,0.2
_D:,0,62,0.6865,0.007139,0.075,0.925,0.9547,0.2
_D:,0,63,0.9283,0.01096,0.075,0.925,0.924,0.2
_D:,0,64,0.4812,0.006972,0.1,0.9,0.9393,0.2
_D:,0,65,0.4595,0.006495,0.1,0.9,0.9441,0.2
_D:,0,66,0.4004,0.0057,0.05,0.95,0.9506,0.2
_D:,0,67,0.4121,0.005919,0.075,0.925,0.9515,0.2
_D:,0,68,0.6619,0.009475,0.1,0.9,0.9192,0.2
_D:,0,69,0.543,0.005973,0.075,0.925,0.9594,0.2
_D:,0,70,0.986,0.0107,0.1,0.9,0.922,0.2
_D:,0,71,0.99,0.01107,0.1,0.9,0.9215,0.2
_D:,0,72,1.763,0.01965,0.25,0.75,0.8612,0.2
_D:,0,73,1.057,0.01229,0.125,0.875,0.9121,0.2
_D:,0,74,0.09401,0.0008919,0.025,0.975,0.9907,0.2
_D:,0,75,0.5241,0.007301,0.1,0.9,0.9381,0.2
_D:,0,76,0.3136,0.004714,0.05,0.95,0.9563,0.2
_D:,0,77,0.383,0.005294,0.05,0.95,0.9546,0.2
_D:,0,78,0.5355,0.007269,0.1,0.9,0.9376,0.2
_D:,0,79,0.1535,0.00204,0.025,0.975,0.9818,0.2
_D:,0,80,0.2403,0.00323,0.05,0.95,0.9722,0.2
_D:,0,81,0.4661,0.006528,0.075,0.925,0.9465,0.2
_D:,0,82,0.5298,0.007491,0.1,0.9,0.9326,0.2
_D:,0,83,0.2519,0.003491,0.05,0.95,0.97,0.2
_D:,0,84,0.1366,0.001424,0.05,0.95,0.9897,0.2
_D:,0,85,0.0201,0.0004188,0.025,0.975,0.9956,0.2
_D:,0,86,0,0,0,1,0.9986,0.2
_D:,0,87,0.07428,0.000758,0.025,0.975,0.9917,0.2
_D:,0,88,0.7778,0.008196,0.075,0.925,0.9485,0.2
_D:,0,89,2.256,0.02494,0.25,0.75,0.8308,0.2
_D:,0,90,0.4321,0.005759,0.075,0.925,0.9525,0.2
_D:,0,91,0.9269,0.01007,0.075,0.925,0.9252,0.2
_D:,0,92,1.24,0.01461,0.15,0.85,0.8951,0.2
_D:,0,93,0.8084,0.008509,0.125,0.875,0.94,0.2
_D:,0,94,0.7737,0.00961,0.175,0.825,0.9233,0.2
_D:,0,95,0.2078,0.002011,0.025,0.975,0.9828,0.2
_D:,0,96,0,0,0,1,0.9983,0.2
_D:,0,97,1.136,0.01127,0.125,0.875,0.9343,0.2
_D:,0,98,0.6602,0.006787,0.1,0.9,0.959,0.2
_D:,0,99,0.9037,0.01018,0.075,0.925,0.9278,0.2
_D:,0,100,0.4658,0.006467,0.075,0.925,0.9468,0.2
_D:,0,101,0.3055,0.004533,0.05,0.95,0.9631,0.2
_D:,0,102,2.001,0.0227,0.225,0.775,0.8485,0.2
_D:,0,103,0.5895,0.00647,0.05,0.95,0.9576,0.2
_D:,0,104,0.2738,0.003734,0.1,0.9,0.9704,0.2
_D:,0,105,1.55,0.01655,0.2,0.8,0.8976,0.2
_D:,0,106,0.3662,0.005134,0.05,0.95,0.9568,0.2
_D:,0,107,1.002,0.01211,0.125,0.875,0.916,0.2
_D:,0,108,0.577,0.005372,0.05,0.95,0.9655,0.2
_D:,0,109,0.9426,0.01052,0.1,0.9,0.9323,0.2
_D:,0,110,0.2396,0.003516,0.075,0.925,0.9697,0.2
