_H:	|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeD ActAvg	#EncodeD Hog	#EncodeD Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltD ActAvg	#GestaltD Hog	#GestaltD Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
_D:	0	0	0	0.8783	0.01597	0.9732	0.02679	0.2084	0.824	0.01648	0.7928	0.2072	0.1343	0.8929	0.9131	0.8343	0.9923	0.806	0.8236	0.7518	0.8965	0.2997	0.268	0.3828	0.1551	0.1918	0.0625	0	0.1284	0.1181	0	0.05662	0	0.04167	0.03784	0	0.04167	0.1378	0.02778	0
_D:	0	1	19.98	0.8342	0.01517	0.8802	0.1198	0.3594	0.5995	0.01199	0.6909	0.3091	0.3039	0.7632	0.8078	0.648	0.9593	0.7164	0.772	0.6045	0.9206	0.4742	0.3862	0.6229	0.1872	0.1939	0.09028	0	0.1282	0.1458	0.4097	0.05538	0	0.1181	0.03776	0	0.1111	0.1389	0.006944	0
_D:	0	2	20.85	0.8258	0.01502	0.839	0.161	0.4645	0.5986	0.01197	0.7953	0.2047	0.2189	0.724	0.7651	0.586	0.9486	0.6997	0.7658	0.563	0.9514	0.5663	0.4837	0.7516	0.2332	0.1958	0.09028	0	0.1289	0.1528	0.7431	0.05474	0	0.1528	0.03834	0.01389	0.2431	0.1391	0.02778	0.006944
_D:	0	3	20.93	0.7795	0.01417	0.7412	0.2588	0.5131	0.5283	0.01057	0.7388	0.2612	0.3157	0.6219	0.6944	0.466	0.9031	0.6375	0.7469	0.4892	0.9509	0.6279	0.5072	0.7703	0.3092	0.1975	0.08333	0	0.1216	0.1458	0.4792	0.05418	0.006944	0.1667	0.03742	0.02778	0.2639	0.1389	0.01389	0.01389
_D:	0	4	20.53	0.7335	0.01334	0.6667	0.3333	0.5203	0.4402	0.008804	0.6101	0.3899	0.4096	0.5421	0.6334	0.402	0.8329	0.5899	0.7022	0.446	0.9116	0.6604	0.5026	0.7746	0.3198	0.1992	0.09722	0	0.1197	0.125	0.4722	0.05422	0.006944	0.2292	0.03628	0.03472	0.3125	0.1385	0.006944	0
_D:	0	5	20.46	0.6323	0.0115	0.5653	0.4347	0.5887	0.4105	0.008211	0.5602	0.4398	0.4398	0.4394	0.5691	0.294	0.7686	0.4829	0.6458	0.351	0.8313	0.7031	0.5612	0.8175	0.4003	0.2001	0.09028	0	0.1173	0.1181	0.4167	0.05431	0.006944	0.1806	0.03616	0.02778	0.3056	0.1384	0	0.006944
_D:	0	6	20.32	0.6766	0.0123	0.5813	0.4187	0.5556	0.3997	0.007994	0.5476	0.4524	0.4674	0.4628	0.563	0.342	0.7379	0.5251	0.6673	0.419	0.8323	0.6432	0.5723	0.7563	0.4134	0.2008	0.09028	0	0.1144	0.1181	0.3681	0.05385	0	0.2361	0.03589	0.02778	0.2917	0.1394	0.006944	0.006944
_D:	0	7	20.34	0.6139	0.01116	0.5101	0.4899	0.6209	0.332	0.006639	0.462	0.538	0.5341	0.401	0.4922	0.29	0.6599	0.4707	0.6014	0.3582	0.7827	0.7246	0.6172	0.7963	0.4945	0.2021	0.09028	0	0.1138	0.1181	0.3611	0.05288	0	0.3125	0.03562	0.02778	0.3264	0.1398	0.006944	0.006944
_D:	0	8	20.39	0.5915	0.01075	0.4911	0.5089	0.6328	0.3547	0.007094	0.4753	0.5247	0.5204	0.3996	0.4821	0.286	0.6282	0.4688	0.5965	0.3617	0.7345	0.7192	0.6167	0.8076	0.5029	0.2013	0.09028	0	0.1132	0.1111	0.3681	0.05278	0.006944	0.2708	0.03528	0.02778	0.3194	0.1397	0	0.01389
_D:	0	9	20.38	0.609	0.01107	0.4905	0.5095	0.6081	0.3303	0.006606	0.4669	0.5331	0.5459	0.3589	0.5112	0.26	0.6598	0.4375	0.6427	0.342	0.7946	0.7242	0.5808	0.803	0.4592	0.2021	0.09722	0	0.112	0.1181	0.3611	0.05304	0.006944	0.3125	0.0352	0.02778	0.3403	0.1406	0	0.006944
