|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeCT ActAvg	#EncodeCT Hog	#EncodeCT Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltCT ActAvg	#GestaltCT Hog	#GestaltCT Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
0	0	24.67	0.8732	0.01588	0.9669	0.03308	0.1927	0.8257	0.01651	0.8203	0.1797	0.1111	0.8896	0.8889	0.8121	0.9872	0.8017	0.8022	0.7297	0.8935	0.2919	0.2626	0.3929	0.134	0.1935	0.0625	0	0.129	0.1667	0.006944	0.05587	0	0.06944	0.03756	0	0.04861	0.1378	0.02083	0.006944
0	1	13.42	0.8362	0.0152	0.8769	0.1231	0.3732	0.6057	0.01211	0.7344	0.2656	0.2606	0.7637	0.8086	0.644	0.9545	0.7207	0.7825	0.6007	0.9268	0.4536	0.4268	0.6317	0.205	0.1956	0.1181	0	0.1322	0.1667	0.5694	0.05499	0	0.1458	0.03734	0	0.125	0.1391	0.02778	0.006944
0	2	13.81	0.8325	0.01514	0.8443	0.1557	0.4456	0.6188	0.01238	0.8315	0.1685	0.2124	0.725	0.7694	0.602	0.9385	0.6962	0.7739	0.5753	0.9488	0.5646	0.4615	0.7341	0.2178	0.1981	0.0625	0	0.1305	0.1667	0.7153	0.05507	0	0.1736	0.03704	0	0.1111	0.1395	0.02778	0.01389
0	3	13.16	0.7397	0.01345	0.7339	0.2661	0.5288	0.4752	0.009505	0.6842	0.3158	0.3873	0.6008	0.7248	0.466	0.888	0.5907	0.7517	0.4593	0.9082	0.6339	0.5066	0.7933	0.3122	0.1991	0.05556	0	0.1254	0.1597	0.5486	0.05462	0	0.2431	0.03645	0.006944	0.2639	0.1382	0.01389	0.01389
0	4	13.49	0.6482	0.01179	0.6174	0.3826	0.5857	0.419	0.008381	0.5908	0.4092	0.4445	0.4939	0.5946	0.344	0.8087	0.5098	0.6317	0.3712	0.8362	0.6856	0.5865	0.8278	0.3826	0.1996	0.07639	0	0.1224	0.1597	0.4583	0.0542	0	0.2569	0.03625	0.02083	0.3056	0.1384	0.02778	0.02083
0	5	13.68	0.65	0.01182	0.5882	0.4118	0.5559	0.3889	0.007778	0.5291	0.4709	0.4721	0.4396	0.6082	0.312	0.7893	0.4633	0.6954	0.3672	0.8439	0.7016	0.5061	0.7815	0.3822	0.2012	0.09028	0	0.1212	0.1528	0.4583	0.05461	0	0.2431	0.03541	0.02778	0.3403	0.138	0.01389	0.02083
0	6	13.43	0.6386	0.01161	0.5561	0.4439	0.5839	0.3753	0.007506	0.4961	0.5039	0.4917	0.4256	0.5592	0.308	0.7303	0.4778	0.6526	0.3843	0.7996	0.6938	0.5698	0.7886	0.4292	0.2019	0.1181	0	0.1181	0.1458	0.4097	0.05335	0	0.2917	0.0355	0.02083	0.3681	0.1377	0.006944	0.02083
0	7	13.64	0.6001	0.01091	0.5095	0.4905	0.6109	0.3611	0.007221	0.4871	0.5129	0.5108	0.4098	0.4914	0.254	0.7048	0.4592	0.6004	0.3218	0.8014	0.696	0.6164	0.8341	0.4259	0.2015	0.0625	0	0.117	0.1389	0.4167	0.05443	0	0.2639	0.03528	0.01389	0.2639	0.1381	0	0.006944
0	8	13.52	0.5534	0.01006	0.4881	0.5119	0.6261	0.3412	0.006824	0.4603	0.5397	0.5329	0.4065	0.4665	0.258	0.6557	0.4497	0.5426	0.3226	0.7054	0.7024	0.6258	0.8146	0.4822	0.2043	0.1042	0	0.1147	0.1458	0.3819	0.05318	0.006944	0.2778	0.03515	0.01389	0.2361	0.1397	0.01389	0.02778
0	9	13.63	0.5603	0.01019	0.4495	0.5505	0.6542	0.323	0.00646	0.426	0.574	0.5573	0.33	0.4872	0.232	0.6122	0.4046	0.616	0.3092	0.7376	0.7595	0.608	0.8326	0.5149	0.2044	0.1181	0	0.1146	0.1389	0.3681	0.05345	0.006944	0.3264	0.0348	0.02778	0.3056	0.1407	0	0.02778
