_H:	$Name	%Phon[2:0,0]<2:10,2>	%Phon[2:0,1]	%Phon[2:1,0]	%Phon[2:1,1]	%Phon[2:2,0]	%Phon[2:2,1]	%Phon[2:3,0]	%Phon[2:3,1]	%Phon[2:4,0]	%Phon[2:4,1]	%Phon[2:5,0]	%Phon[2:5,1]	%Phon[2:6,0]	%Phon[2:6,1]	%Phon[2:7,0]	%Phon[2:7,1]	%Phon[2:8,0]	%Phon[2:8,1]	%Phon[2:9,0]	%Phon[2:9,1]
_D:	E	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
_D:	i	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
_D:	A	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
_D:	e	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
_D:	@	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
_D:	U	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
_D:	u	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
_D:	O	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
_D:	o	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
_D:	a	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
_D:	^	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
_D:	I	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
_D:	W	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
_D:	Y	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
_D:	-	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
